architecture_family,component_relation,estimated_cost,estimated_memory,estimated_points,exact_geometric_transform,exact_integer_scale,example_count,initializer_count,input_is_output_subgrid,input_shape_variability,model_bytes,node_count,nonzero_relation,output_is_input_subgrid,output_is_nonzero_bbox,output_shape_variability,palette_relation,parameter_count,primitive_tags,same_shape_examples,same_shape_mask_relation,semantic_signature,shape_inventory_complete,shape_relation,task,top_ops
index_scatter,increase,8394,6436,15.964727556,none,none,267,6,none,fixed,15145,6,decrease,none,none,fixed,output_subset,1958,same_shape;palette_filter;select_or_erase,267,output_subset,rows_same:cols_same|output_subset|decrease|increase|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task074,Conv:1;Cast:1;Reshape:1;ScatterElements:1;Gather:1;Equal:1
mixed,decrease,1487,1326,17.695484054,none,none,265,14,none,fixed,1697,12,increase,none,none,fixed,output_subset,161,same_shape;palette_filter;paint_or_fill,265,output_superset,rows_same:cols_same|output_subset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task075,Concat:3;Cast:2;Einsum:1;Reshape:1;Slice:1;Where:1;DepthToSpace:1;Pad:1;Equal:1
mixed,decrease,12825,12738,15.540848330,none,none,266,30,none,variable,9771,118,increase,none,none,variable,same,87,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task076,Cast:23;Unsqueeze:13;Sub:10;Equal:8;Add:8;Reshape:7;Gather:7;Where:6;Concat:4;Or:3
spatial,same,7657,7620,16.056624459,none,none,266,11,none,variable,979,15,same,none,none,variable,output_superset,37,same_shape;mask_preserving;palette_add,266,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task077,MaxPool:4;QLinearConv:3;Min:3;Slice:1;Cast:1;Greater:1;Pad:1;Where:1
mixed,decrease,1293,1260,17.835279621,none,none,266,7,none,fixed,1132,11,same,none,none,fixed,same,33,same_shape,266,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task078,Slice:2;ReduceL1:2;Less:2;Add:1;Xor:1;Not:1;Concat:1;Pad:1
mixed,decrease,3114,3039,16.956336648,none,none,266,18,none,fixed,3101,38,decrease,all,none,fixed,output_subset,75,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task079,Slice:11;Cast:6;Reshape:3;Equal:3;MaxPool:2;Concat:2;Add:2;Conv:1;Min:1;TopK:1
mixed,same,9158,8725,15.877616907,none,none,266,24,none,variable,6266,52,increase,none,none,variable,same,433,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task080,Cast:8;Where:7;Gather:6;ReduceMax:4;Reshape:4;Equal:4;Greater:3;QLinearConv:3;Conv:2;Min:2
quantized,same,464,392,18.860115448,none,none,264,9,none,fixed,821,4,increase,none,none,fixed,output_superset,72,same_shape;palette_add;paint_or_fill,264,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task081,QLinearConv:2;Slice:1;Cast:1
single_conv,increase,190,0,19.752975928,none,none,265,2,none,variable,989,1,increase,none,none,variable,same,190,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task082,Conv:1
single_einsum,increase,210,0,19.652892469,none,none,266,2,all,fixed,1027,1,increase,none,none,fixed,same,210,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|increase|not_applicable|none|none|all|none|none|fixed|fixed,True,rows_increase:cols_increase,task083,Einsum:1
mixed,increase,2038,1797,17.380275786,none,none,175,3,none,variable,1679,8,increase,none,none,variable,output_superset,241,same_shape;palette_add;paint_or_fill,175,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task084,ReduceSum:2;Cast:2;Less:1;Add:1;Mul:1;ScatterElements:1
mixed,same,2398,2280,17.217609664,none,none,265,13,none,variable,3506,25,decrease,none,none,variable,same,118,same_shape;select_or_erase,265,output_subset,rows_same:cols_same|same|decrease|same|output_subset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task085,Einsum:4;Cast:4;Reshape:4;Equal:3;Greater:3;Where:3;Pad:2;And:2
mixed,decrease,256,98,19.454822556,none,none,266,13,none,variable,1330,19,increase,none,none,variable,same,158,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,False,rows_same:cols_same,task086,Cast:5;Where:3;Greater:2;Gather:2;Equal:2;Conv:1;QLinearConv:1;GlobalAveragePool:1;TopK:1;Pad:1
single_roialign,same,5,0,23.390562088,rot180,none,266,2,none,fixed,382,1,same,none,none,fixed,same,5,same_shape;geometry;mask_preserving,266,same,rows_same:cols_same|same|same|same|same|none|none|none|rot180|none|fixed|fixed,True,rows_same:cols_same,task087,RoiAlign:1
mixed,decrease,1872,1791,17.465237343,none,none,267,11,none,variable,3349,44,decrease,none,none,variable,output_subset,81,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task088,Cast:8;Sub:8;Einsum:4;Mul:4;Add:4;Div:4;Concat:3;Equal:2;Sqrt:2;ReduceSum:1
mixed,increase,6739,6585,16.184333175,none,none,267,20,none,fixed,6635,66,increase,none,none,fixed,same,154,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task089,Cast:11;Add:8;Where:7;ArgMax:6;Reshape:5;Equal:5;ReduceMax:4;Gather:4;ScatterElements:3;Pad:2
mixed,decrease,3052,2970,16.976447608,none,none,267,12,none,variable,14008,409,increase,none,none,variable,output_superset,82,same_shape;palette_add;paint_or_fill,267,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task090,Mul:155;Add:145;Where:42;Cast:11;Min:10;ReduceMax:10;ArgMax:10;Greater:9;Split:6;Concat:5
mixed,decrease,2745,2694,17.082463646,none,none,266,21,none,variable,3191,50,decrease,all,mixed,variable,same,51,crop_or_extract;subgrid_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|all|mixed|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task091,Unsqueeze:9;Concat:7;Cast:6;Sub:5;ArgMax:4;Add:4;Slice:4;Greater:3;Where:3;Squeeze:2
mixed,decrease,6553,6375,16.212321761,none,none,265,16,none,variable,9855,85,increase,none,none,variable,same,178,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task092,Cast:23;Sub:10;Where:9;Unsqueeze:9;GatherElements:7;Einsum:4;Mul:4;TopK:3;ScatterElements:3;ReduceMax:2
mixed,decrease,3332,3212,16.888671997,none,none,265,22,none,fixed,4607,54,same,none,none,fixed,output_subset,120,same_shape;palette_filter,265,overlap,rows_same:cols_same|output_subset|same|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task093,Cast:9;Mul:6;QLinearMatMul:5;ReduceMax:4;Greater:4;Reshape:4;Slice:3;Add:3;Where:3;Less:3
spatial,same,2677,2558,17.107547956,none,none,265,10,none,fixed,1825,15,same,none,none,fixed,output_superset,119,same_shape;mask_preserving;palette_add,265,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task094,Cast:3;Greater:3;Conv:2;Pad:2;Concat:2;Slice:1;Max:1;Where:1
quantized,decrease,345,245,19.156455583,none,none,265,5,none,fixed,587,3,increase,none,none,fixed,output_superset,100,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task095,Slice:1;QuantizeLinear:1;ConvInteger:1
mixed,same,7678,7260,16.053885624,none,none,266,33,none,variable,13981,113,decrease,none,none,variable,same,418,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|same|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task096,Cast:21;Where:15;Add:11;ArgMax:8;Sub:8;Equal:7;Div:5;Gather:4;Slice:4;Mul:4
single_conv,decrease,910,0,18.186555400,none,none,267,2,none,variable,3829,1,decrease,none,none,variable,mixed,910,same_shape;select_or_erase,267,output_subset,rows_same:cols_same|mixed|decrease|decrease|output_subset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task097,Conv:1
single_conv,same,900,0,18.197605237,none,none,266,1,none,variable,3794,1,decrease,none,none,variable,same,900,same_shape;select_or_erase,266,output_subset,rows_same:cols_same|same|decrease|same|output_subset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task098,Conv:1
mixed,decrease,1899,1621,17.450917289,none,none,265,18,none,fixed,9183,56,increase,none,none,fixed,same,278,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task099,Max:13;ReduceMax:7;Gather:6;Cast:5;Mul:4;Reshape:3;Concat:3;Min:3;Slice:2;ArgMax:2
einsum,decrease,359,318,19.116677612,none,none,266,7,none,fixed,873,14,decrease,none,none,fixed,output_subset,41,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task100,Einsum:3;Cast:3;Add:3;Mul:1;ArgMax:1;Equal:1;Expand:1;Pad:1
mixed,decrease,13695,12881,15.475213918,none,none,266,48,none,variable,10415,278,increase,none,none,variable,same,814,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task101,Add:43;Gather:29;Cast:27;And:26;Mul:23;Where:20;Less:14;Sub:12;Reshape:10;Equal:10
spatial,same,2527,2414,17.165211893,mixed,none,267,12,mixed,fixed,1861,13,increase,mixed,mixed,fixed,mixed,113,same_shape;paint_or_fill,267,mixed,rows_same:cols_same|mixed|increase|same|mixed|mixed|mixed|mixed|mixed|none|fixed|fixed,True,rows_same:cols_same,task102,QLinearConv:4;MaxPool:3;Cast:2;Slice:1;Max:1;Pad:1;Where:1
mixed,decrease,60,36,20.905655438,none,none,223,7,none,fixed,411,7,decrease,none,none,fixed,disjoint,24,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|disjoint|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task103,Slice:2;Equal:1;ReduceMin:1;Not:1;Concat:1;Pad:1
einsum,increase,238,16,19.527729326,none,none,7,6,none,fixed,1147,2,increase,none,none,fixed,output_subset,222,expand_or_compose;palette_filter;paint_or_fill,0,not_applicable,rows_increase:cols_increase|output_subset|increase|increase|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_increase:cols_increase,task104,Slice:1;Einsum:1
bitwise,decrease,2835,2718,17.050202784,none,none,266,20,none,variable,5826,72,increase,none,none,variable,output_superset,117,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task105,Cast:12;Equal:9;ArgMax:6;Or:6;And:5;LessOrEqual:4;Where:4;ReduceMax:3;Add:3;Slice:2
index_scatter,same,626,452,18.560649629,none,mixed,266,6,all,variable,1177,11,increase,none,none,variable,same,174,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|same|not_applicable|none|none|all|none|mixed|variable|variable,True,rows_increase:cols_increase,task106,Cast:4;Gather:3;Einsum:1;Reshape:1;Where:1;ScatterElements:1
mixed,increase,3576,3420,16.817999864,none,none,266,25,none,fixed,5666,87,increase,none,none,variable,output_superset,156,expand_or_compose;palette_add;paint_or_fill,0,not_applicable,rows_increase:cols_increase|output_superset|increase|increase|not_applicable|none|none|none|none|none|fixed|variable,True,rows_increase:cols_increase,task107,Add:13;Mul:11;Cast:10;Sub:10;Unsqueeze:8;Slice:7;Concat:7;Equal:4;ScatterND:3;ArgMax:2
single_einsum,decrease,300,0,19.296217525,none,none,266,2,none,fixed,1410,1,increase,none,none,fixed,same,300,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_increase:cols_increase,task108,Einsum:1
index_scatter,increase,1645,1546,17.594504337,none,none,266,18,none,variable,1892,21,mixed,none,none,variable,output_subset,99,crop_or_extract;palette_filter;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|mixed|increase|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task109,Gather:3;Cast:2;Slice:2;Add:2;Concat:2;Pad:2;GatherND:1;ReduceSum:1;Less:1;Unsqueeze:1
mixed,same,10327,10104,15.757482896,none,none,266,25,none,fixed,4445,69,increase,none,none,fixed,same,223,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task110,Where:16;MaxPool:11;Greater:7;Gather:7;Equal:7;Cast:6;ReduceMax:4;Slice:3;Add:2;Conv:1
einsum,decrease,309,223,19.266658723,none,none,265,12,none,fixed,1604,16,decrease,all,none,fixed,output_subset,86,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task111,Einsum:4;Cast:3;Concat:2;Add:2;Slice:1;Div:1;Where:1;Equal:1;Pad:1
mixed,increase,1768,1616,17.522395757,mixed,none,266,23,mixed,variable,4795,36,increase,mixed,none,variable,same,152,same_shape;paint_or_fill,266,mixed,rows_same:cols_same|same|increase|increase|mixed|mixed|none|mixed|mixed|none|variable|variable,True,rows_same:cols_same,task112,Concat:9;Sub:6;Cast:4;Einsum:2;Mul:2;Unsqueeze:2;Reshape:2;Slice:2;Gather:2;Add:1
single_gather,increase,30,0,21.598802618,none,none,265,1,none,variable,499,1,increase,none,none,variable,same,30,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task113,Gather:1
single_conv,same,900,0,18.197605237,none,none,266,1,all,variable,3835,1,increase,none,none,variable,same,900,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|same|not_applicable|none|none|all|none|none|variable|variable,True,rows_increase:cols_increase,task114,Conv:1
mixed,same,1014,944,18.078341816,none,none,266,10,none,variable,3437,35,decrease,mixed,none,variable,same,70,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|same|not_applicable|mixed|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task115,Where:6;Cast:4;Sub:3;Einsum:2;Div:2;Greater:2;ReduceMin:2;ReduceMax:2;Concat:2;Pad:2
single_gather,same,30,0,21.598802618,none,mixed,267,1,all,fixed,479,1,increase,none,none,fixed,same,30,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_same|same|increase|same|not_applicable|none|none|all|none|mixed|fixed|fixed,True,rows_increase:cols_same,task116,Gather:1
mixed,increase,3795,3592,16.758560310,none,none,265,28,none,variable,2908,41,increase,none,none,variable,same,203,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task117,Sub:9;Slice:6;Cast:3;ReduceMax:3;Concat:3;Add:3;Xor:2;ArgMax:2;Squeeze:2;Pad:2
mixed,same,12282,12153,15.584109945,none,none,267,11,none,variable,1846,20,same,none,none,variable,output_superset,129,same_shape;mask_preserving;palette_add,267,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task118,Where:4;QLinearConv:3;Cast:2;ReduceMax:2;Greater:2;Conv:1;MaxPool:1;Max:1;GreaterOrEqual:1;Equal:1
mixed,increase,1363,1243,17.782556568,none,none,266,23,none,fixed,4641,54,increase,none,none,fixed,output_superset,120,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task119,Cast:12;Where:8;Sub:6;Slice:4;ArgMax:4;Concat:4;ReduceMax:3;Gather:2;Or:2;Add:2
single_conv,same,910,0,18.186555400,none,none,266,2,none,variable,3840,1,same,none,none,variable,output_superset,910,same_shape;mask_preserving;palette_add,266,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task120,Conv:1
mixed,decrease,326,260,19.213102619,none,none,266,12,none,fixed,2583,29,decrease,none,none,fixed,output_subset,66,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task121,Cast:10;Concat:4;Add:4;Gather:3;Einsum:2;Slice:2;And:1;Squeeze:1;Where:1;Pad:1
single_conv,decrease,810,0,18.302965752,mixed,none,266,2,none,variable,3470,1,same,none,none,variable,same,810,same_shape,266,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|mixed|none|variable|variable,True,rows_same:cols_same,task122,Conv:1
index_scatter,same,1342,403,17.798083682,none,mixed,265,10,mixed,fixed,4922,12,increase,none,none,fixed,same,939,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|same|not_applicable|none|none|mixed|none|mixed|fixed|fixed,True,rows_increase:cols_increase,task123,Gather:3;Cast:2;Slice:1;Einsum:1;Squeeze:1;Where:1;Mod:1;Concat:1;Equal:1
index_scatter,increase,1953,1879,17.422878069,none,mixed,267,15,all,variable,2689,28,increase,none,none,fixed,same,74,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_same|same|increase|increase|not_applicable|none|none|all|none|mixed|variable|fixed,True,rows_increase:cols_same,task124,Gather:5;Cast:4;Reshape:3;ArgMax:2;Equal:2;Where:2;Concat:2;Slice:1;Less:1;MatMul:1
spatial,same,3463,3434,16.850109456,none,none,265,7,none,fixed,1405,13,same,none,none,fixed,output_superset,29,same_shape;mask_preserving;palette_add,265,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task125,MaxPool:5;Add:2;Pad:2;Slice:1;Cast:1;Min:1;Equal:1
mixed,increase,605,590,18.594771542,none,none,266,3,none,variable,1334,12,increase,none,none,variable,output_superset,15,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task126,Cast:3;Concat:3;Einsum:1;ReduceMax:1;Sub:1;Equal:1;Xor:1;ScatterND:1
spatial,decrease,210,0,19.652892469,none,none,267,2,none,variable,1269,2,increase,none,none,variable,overlap,210,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|overlap|increase|decrease|output_superset|none|none|none|none|none|variable|variable,False,rows_same:cols_same,task127,Conv:1;ConvTranspose:1
single_einsum,same,136,0,20.087345114,none,none,266,2,none,fixed,752,1,same,none,none,fixed,same,136,same_shape,266,overlap,rows_same:cols_same|same|same|same|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task128,Einsum:1
einsum,decrease,80,80,20.617973365,none,none,265,0,none,fixed,298,3,mixed,none,none,fixed,output_subset,0,same_shape;palette_filter,265,mixed,rows_same:cols_same|output_subset|mixed|decrease|mixed|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task129,GlobalAveragePool:1;Hardmax:1;Einsum:1
single_conv,decrease,30,0,21.598802618,none,none,265,1,none,fixed,382,1,decrease,mixed,none,fixed,output_subset,30,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|mixed|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task130,Conv:1
mixed,decrease,3874,3235,16.737957156,none,none,266,22,none,variable,5512,70,increase,none,none,variable,output_superset,639,same_shape;palette_add;paint_or_fill,266,overlap,rows_same:cols_same|output_superset|increase|decrease|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task131,Where:17;Unsqueeze:10;Sub:6;Add:6;Cast:5;Div:5;Less:4;Einsum:4;Concat:4;Mod:2
mixed,decrease,3637,3106,16.801085555,none,none,267,14,none,variable,5034,66,increase,none,none,variable,same,531,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task132,Where:13;ReduceMax:7;Reshape:6;Einsum:6;Greater:6;And:6;Cast:4;ReduceMin:4;GreaterOrEqual:4;LessOrEqual:4
mixed,decrease,21135,20118,15.041314287,none,none,267,35,none,variable,6827,137,increase,none,none,variable,same,1017,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task133,Cast:23;Mul:17;Add:15;Equal:10;ReduceSum:7;Where:7;Reshape:7;Sub:6;ArgMax:5;Gather:5
mixed,decrease,1529,1427,17.667630794,none,none,266,16,none,variable,3413,45,decrease,none,none,fixed,output_subset,102,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|none|none|none|none|none|variable|fixed,True,rows_decrease:cols_decrease,task134,Einsum:7;Mul:5;ArgMax:4;Greater:4;Cast:4;Sub:3;Add:3;Concat:3;Div:2;Reshape:2
single_conv,decrease,200,0,19.701682633,none,none,266,1,none,fixed,997,1,decrease,all,none,fixed,output_subset,200,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task135,Conv:1
mixed,increase,1194,1159,17.914935706,none,none,266,10,none,fixed,3167,47,increase,none,none,fixed,same,35,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task136,Sub:11;Cast:8;Add:6;Equal:3;Gather:2;Div:2;Mod:2;Greater:2;Less:2;Where:2
mixed,increase,3389,3263,16.871709828,none,none,266,9,none,variable,2695,33,increase,none,none,variable,same,126,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task137,Cast:8;Einsum:3;Div:3;Sub:3;Where:3;ReduceSum:2;Sqrt:2;Mul:2;Abs:2;Less:2
mixed,decrease,12042,11840,15.603844182,none,none,266,15,none,variable,6416,55,mixed,mixed,none,variable,same,202,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|mixed|decrease|not_applicable|mixed|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task138,Where:7;Cast:5;Gather:5;ArgMax:4;Squeeze:4;Equal:4;Conv:3;And:3;Pad:2;Sub:2
mixed,decrease,904,765,18.193170640,none,none,265,8,none,fixed,934,9,increase,none,none,fixed,output_superset,139,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task139,ReduceMax:2;Mul:2;Slice:1;Cast:1;BitwiseAnd:1;Concat:1;ConvInteger:1
single_roialign,same,5,0,23.390562088,rot180,none,265,2,none,fixed,382,1,same,none,none,fixed,same,5,same_shape;geometry,265,overlap,rows_same:cols_same|same|same|same|overlap|none|none|none|rot180|none|fixed|fixed,True,rows_same:cols_same,task140,RoiAlign:1
mixed,increase,1383,1281,17.767989668,none,none,265,6,none,variable,1472,24,increase,none,none,variable,same,102,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task141,Einsum:4;Cast:4;Where:3;Div:2;Less:2;Max:2;Min:2;Sub:2;Equal:2;Sqrt:1
single_einsum,increase,90,0,20.500190330,none,none,266,1,all,fixed,544,1,increase,none,none,fixed,same,90,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|increase|not_applicable|none|none|all|none|none|fixed|fixed,True,rows_increase:cols_increase,task142,Einsum:1
einsum,same,837,591,18.270175930,none,none,266,8,none,fixed,2694,36,same,none,none,fixed,output_subset,246,same_shape;mask_preserving;palette_filter,266,same,rows_same:cols_same|output_subset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task143,Einsum:8;Cast:5;Mul:4;Mod:4;Equal:3;And:3;Sub:2;Greater:2;Slice:1;Less:1
single_conv,mixed,104,0,20.355609101,none,none,267,2,none,fixed,623,1,decrease,none,none,fixed,mixed,104,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_same|mixed|decrease|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_same,task144,Conv:1
spatial,decrease,12855,12744,15.538511880,none,none,267,16,none,variable,3877,32,increase,none,none,variable,output_superset,111,same_shape;palette_add;paint_or_fill,267,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task145,Where:10;MaxPool:6;Cast:3;Equal:3;Add:2;DequantizeLinear:2;Slice:1;Mul:1;ReduceMax:1;ReduceMin:1
spatial,same,100,0,20.394829814,none,none,267,6,none,fixed,988,9,decrease,all,none,fixed,output_subset,100,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_same|output_subset|decrease|same|not_applicable|all|none|none|none|none|fixed|fixed,False,rows_decrease:cols_same,task146,Cast:3;Conv:1;Equal:1;Einsum:1;Add:1;Pad:1;Gather:1
index_scatter,same,532,432,18.723356511,none,none,267,5,none,variable,1309,3,same,none,none,variable,mixed,100,same_shape;mask_preserving,267,same,rows_same:cols_same|mixed|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task147,Slice:1;Conv:1;ScatterElements:1
mixed,decrease,4887,4635,16.505666103,none,none,266,31,none,variable,5216,58,increase,none,none,variable,output_superset,252,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task148,Cast:14;Slice:9;Where:8;Mul:5;ReduceMax:3;And:3;ArgMax:3;Sub:3;Add:2;Concat:2
spatial,decrease,100,0,20.394829814,none,none,267,2,none,fixed,776,2,decrease,none,none,fixed,disjoint,100,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|disjoint|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,False,rows_decrease:cols_decrease,task149,Conv:2
