architecture_family,component_relation,estimated_cost,estimated_memory,estimated_points,exact_geometric_transform,exact_integer_scale,example_count,initializer_count,input_is_output_subgrid,input_shape_variability,model_bytes,node_count,nonzero_relation,output_is_input_subgrid,output_is_nonzero_bbox,output_shape_variability,palette_relation,parameter_count,primitive_tags,same_shape_examples,same_shape_mask_relation,semantic_signature,shape_inventory_complete,shape_relation,task,top_ops
single_conv,mixed,900,0,18.197605237,none,none,265,1,none,fixed,3774,1,increase,none,none,fixed,output_superset,900,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|mixed|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task015,Conv:1
single_gather,same,10,0,22.697414907,none,none,267,1,none,fixed,158,1,same,none,none,fixed,mixed,10,same_shape;mask_preserving,267,same,rows_same:cols_same|mixed|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task016,Gather:1
index_scatter,decrease,6453,4749,16.227699582,none,none,266,14,none,fixed,6229,28,increase,none,none,fixed,same,1704,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task017,Cast:5;Gather:4;Add:3;Mod:3;ArgMax:2;Equal:2;Sub:2;Mul:2;GatherND:1;MatMulInteger:1
mixed,decrease,23771,23654,14.923778371,none,none,266,41,none,variable,73252,675,decrease,none,none,variable,same,117,same_shape;select_or_erase,266,overlap,rows_same:cols_same|same|decrease|decrease|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task018,Add:104;Mul:94;Cast:79;Sub:70;Clip:58;Equal:52;Gather:43;Where:41;Reshape:20;And:12
mixed,mixed,2503,2421,17.174754709,none,none,267,15,none,variable,1868,30,increase,none,none,variable,output_superset,82,expand_or_compose;palette_add;paint_or_fill,0,not_applicable,rows_increase:cols_increase|output_superset|increase|mixed|not_applicable|none|none|none|none|none|variable|variable,True,rows_increase:cols_increase,task019,Cast:4;ReduceMax:3;Where:3;Equal:2;ReduceSum:2;Add:2;Squeeze:2;Mod:2;Gather:2;Less:2
index_scatter,increase,1256,1104,17.864312653,none,none,266,19,none,fixed,3335,39,increase,none,none,fixed,same,152,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task020,Cast:6;Add:6;Concat:5;Slice:4;ArgMax:3;Reshape:3;Gather:3;ReduceMin:2;Less:2;GatherND:1
einsum,same,324,264,19.219256484,none,none,266,2,none,variable,844,13,decrease,mixed,none,variable,output_subset,60,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|same|not_applicable|mixed|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task021,Einsum:6;Cast:3;Sub:2;Less:2
spatial,decrease,900,162,18.197605237,none,none,266,8,none,fixed,3457,4,decrease,none,none,fixed,same,738,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task022,Einsum:1;Add:1;Equal:1;Pad:1
quantized,same,8222,8083,15.985431233,none,none,266,17,none,variable,17654,103,same,none,none,variable,disjoint,139,same_shape;mask_preserving,266,same,rows_same:cols_same|disjoint|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task023,QLinearConv:46;Add:21;Mul:11;Cast:6;Sub:5;Equal:4;Min:4;Pad:3;Slice:2;Concat:1
single_einsum,decrease,110,0,20.299519634,none,none,266,3,none,variable,720,1,increase,none,none,variable,same,110,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task024,Einsum:1
mixed,decrease,9817,9684,15.808129144,none,none,266,11,none,variable,4789,61,decrease,none,none,variable,mixed,133,same_shape;select_or_erase,266,mixed,rows_same:cols_same|mixed|decrease|decrease|mixed|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task025,Cast:11;Mul:11;Einsum:7;Add:6;ReduceMax:4;Unsqueeze:3;Sub:3;OneHot:3;Concat:3;ReduceSum:2
single_conv,mixed,200,0,19.701682633,none,none,268,1,none,fixed,1016,1,decrease,none,none,fixed,mixed,200,crop_or_extract;select_or_erase,0,not_applicable,rows_same:cols_decrease|mixed|decrease|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_same:cols_decrease,task026,Conv:1
mixed,same,1308,1262,17.823745468,none,none,265,17,none,fixed,1971,20,increase,none,none,fixed,output_superset,46,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task027,Slice:5;Cast:3;ReduceSum:2;Where:2;Pad:2;Not:1;Greater:1;Transpose:1;And:1;Xor:1
single_einsum,decrease,168,0,19.876036021,none,none,265,3,none,fixed,963,1,increase,none,none,fixed,same,168,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task028,Einsum:1
mixed,mixed,5288,5212,16.426804618,none,none,266,15,none,variable,2354,52,decrease,all,none,variable,output_subset,76,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|mixed|not_applicable|all|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task029,Mul:10;Add:10;Cast:8;Einsum:5;ArgMax:5;Sub:2;Less:2;Where:2;Pad:2;Equal:1
mixed,mixed,1803,1604,17.502792777,none,none,266,16,none,variable,2606,26,same,none,none,variable,same,199,same_shape,266,overlap,rows_same:cols_same|same|same|mixed|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task030,Slice:5;Cast:5;Sub:4;Einsum:2;Mod:2;Gather:2;Concat:2;Div:1;Reshape:1;Max:1
mixed,same,391,278,19.031292440,none,none,266,15,none,variable,2433,41,same,all,all,variable,same,113,crop_or_extract;subgrid_extract;bbox_crop,0,not_applicable,rows_decrease:cols_decrease|same|same|same|not_applicable|all|all|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task031,Cast:8;Einsum:6;Div:5;Log:4;Add:4;Sub:4;Concat:3;Ceil:2;Slice:1;Pad:1
single_conv,decrease,910,0,18.186555400,mixed,none,266,2,none,variable,3828,1,same,none,none,variable,same,910,same_shape,266,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|mixed|none|variable|variable,True,rows_same:cols_same,task032,Conv:1
mixed,mixed,1639,1606,17.598158421,none,none,265,2,none,fixed,2686,23,increase,none,none,fixed,same,33,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|mixed|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task033,Slice:10;Less:8;Concat:4;Where:1
quantized,same,2261,2100,17.276437528,none,none,267,16,none,fixed,1984,16,increase,none,none,fixed,output_subset,161,same_shape;palette_filter;paint_or_fill,267,output_superset,rows_same:cols_same|output_subset|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task034,QLinearConv:8;Cast:2;Slice:1;Max:1;Pad:1;ReduceMax:1;Mul:1;Where:1
mixed,same,1901,1442,17.449864658,none,none,266,30,none,fixed,6483,53,same,none,none,fixed,mixed,459,same_shape;mask_preserving,266,same,rows_same:cols_same|mixed|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task035,Cast:9;Concat:9;Slice:6;Add:5;Where:5;Einsum:4;Sub:3;Unsqueeze:3;ReduceSum:2;Gather:2
mixed,decrease,1559,1445,17.648200131,none,none,265,18,none,fixed,4290,51,decrease,all,none,variable,output_subset,114,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|fixed|variable,True,rows_decrease:cols_decrease,task036,Reshape:7;Cast:6;Einsum:5;Add:5;Greater:4;ArgMax:4;Sub:3;Where:3;Div:2;Equal:2
mixed,increase,2465,2268,17.190052914,none,none,266,20,none,fixed,3481,59,increase,none,none,fixed,same,197,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task037,Cast:10;Mul:8;Add:6;Einsum:5;GatherElements:4;Sub:4;Where:4;Unsqueeze:4;Reshape:3;Equal:2
mixed,decrease,213,163,19.638707834,none,none,266,9,none,fixed,892,6,decrease,mixed,none,fixed,output_subset,50,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|mixed|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task038,Slice:2;Einsum:1;Greater:1;Xor:1;Pad:1
einsum,decrease,453,404,18.884107875,none,none,264,6,none,fixed,852,9,decrease,all,none,fixed,same,49,crop_or_extract;subgrid_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|all|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task039,Einsum:3;Concat:1;Div:1;Cast:1;Add:1;Slice:1;Pad:1
single_einsum,same,190,0,19.752975928,none,none,266,9,none,fixed,1200,1,same,none,none,fixed,output_subset,190,same_shape;mask_preserving;palette_filter,266,same,rows_same:cols_same|output_subset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task040,Einsum:1
bitwise,decrease,1787,1730,17.511706485,none,none,266,5,none,fixed,1354,19,increase,none,none,fixed,same,57,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task041,BitwiseXor:7;BitwiseOr:6;Conv:1;Cast:1;Split:1;Concat:1;Pad:1;Equal:1
spatial,increase,3110,2792,16.957621995,none,none,266,14,none,fixed,1830,11,increase,none,none,fixed,output_superset,318,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task042,Conv:3;Slice:1;Cast:1;Relu:1;ConvTranspose:1;Max:1;Greater:1;Pad:1;Where:1
spatial,increase,793,588,18.324176778,none,none,266,16,none,fixed,1786,9,increase,none,none,fixed,output_superset,205,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task043,Slice:2;Cast:2;Pad:2;Concat:2;Einsum:1
mixed,mixed,3212,3060,16.925350925,none,none,266,23,none,fixed,14824,139,same,none,none,fixed,same,152,same_shape,266,overlap,rows_same:cols_same|same|same|mixed|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task044,Cast:24;Add:14;Where:14;LessOrEqual:10;Sub:9;ArgMax:9;Equal:8;Or:8;MaxPool:5;ConvInteger:4
mixed,decrease,1673,1050,17.577626299,mixed,none,265,8,mixed,fixed,2970,11,increase,mixed,none,fixed,same,623,same_shape;paint_or_fill,265,mixed,rows_same:cols_same|same|increase|decrease|mixed|mixed|none|mixed|mixed|none|fixed|fixed,True,rows_same:cols_same,task045,Slice:2;Cast:2;Split:2;ReduceMax:1;Einsum:1;Unsqueeze:1;Concat:1;ConvTranspose:1
mixed,decrease,2085,1999,17.357475866,none,none,267,22,none,variable,6509,52,same,none,none,variable,output_subset,86,crop_or_extract;palette_filter;extract_and_recompose,0,not_applicable,rows_same:cols_decrease|output_subset|same|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_same:cols_decrease,task046,Where:14;Slice:6;Equal:6;Cast:5;Pad:4;ReduceMax:3;Greater:3;Sub:2;Conv:1;TopK:1
mixed,decrease,862,826,18.240744729,none,none,265,16,none,fixed,2305,19,increase,none,none,fixed,output_superset,36,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task047,ReduceMax:4;Where:4;Concat:3;Slice:2;Cast:2;Pad:2;BitwiseAnd:2
bitwise,decrease,744,628,18.387958965,none,none,270,15,none,variable,5977,65,decrease,all,none,fixed,output_subset,116,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|variable|fixed,True,rows_decrease:cols_decrease,task048,BitwiseOr:15;BitShift:11;Pad:11;BitwiseAnd:7;Cast:5;Where:3;Greater:2;Equal:2;Conv:1;Slice:1
mixed,decrease,345,242,19.156455583,none,none,268,7,none,variable,1703,25,decrease,all,none,variable,output_subset,103,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task049,Cast:8;Einsum:3;Div:3;Sub:3;Where:1;ReduceMin:1;Equal:1;Mul:1;Conv:1;Round:1
spatial,decrease,3849,3825,16.744431347,mixed,none,271,5,mixed,variable,875,12,increase,mixed,none,variable,mixed,24,same_shape;paint_or_fill,271,mixed,rows_same:cols_same|mixed|increase|decrease|mixed|mixed|none|mixed|mixed|none|variable|variable,True,rows_same:cols_same,task050,MaxPool:4;Mul:2;Slice:1;Cast:1;Max:1;Greater:1;Pad:1;Where:1
