dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_divisions_added,safe_division_skipped_cap,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_synthetic_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25840,25466,24733,24707,38,0.970195554857457,0.0037925696594427244,0,0,0,0,0,114,98,0,98,98,196,0,98,0,0,7,24790,24218,572,99,24733,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,148,465,317,0,0,0,0,0,25458,8,1,10.054641751448314,exp084_public0903_det096875_gap58
44b6_0b24845f,27436,24400,22227,22884,96,0.9378688524590164,0.03692229187928269,0,4,0,0,0,1451,1013,0,1013,1013,2026,0,1013,0,0,30,23455,22278,1177,99,22223,0,0,0,0,0,0,0,183,96,22,0,0,0,0,0,0,0,0,0,0,1326,4019,2693,0,0,0,0,0,24376,24,1,10.054641751448314,exp084_public0903_det096875_gap58
6bba_05b6850b,6708,6359,6172,6131,19,0.9641453058657021,0.009540846750149075,0,6,0,0,0,74,64,0,64,64,128,0,64,0,0,3,6262,6058,204,99,6166,0,0,0,0,0,0,0,26,19,0,0,0,0,0,0,0,0,0,0,0,132,410,278,0,0,0,0,0,6357,2,1,10.054641751448314,exp084_public0903_det096875_gap58
6bba_05db0fb1,72966,72226,67079,70184,266,0.971727632708443,0.010950305621796453,0,0,0,0,0,1192,799,0,799,799,1598,0,799,0,0,18,69353,67438,1915,99,67079,0,0,0,0,0,0,0,341,266,9,0,0,0,0,0,0,0,0,0,0,488,1521,1033,0,0,0,0,0,72205,21,1,10.054641751448314,exp084_public0903_det096875_gap58
