task,delta,size,n_sources,sources,hash
task198.onnx,-557,4030,2,frank7245;hoang,db13846fc3e3ca0d0b5ce1440fbf57b3ea2f2a19e2284f95de10cc6f8bc5f235
task388.onnx,-374,1851,2,frank7245;hoang,5214188dbc88f7c2359e4c881fcf8c5fde1010a711e70212c689a5d1a106d7d4
task064.onnx,-246,3322,2,kaiwalya;lucifer_chimera,9c9bd1b5714fcdb29c42487e92a2043609a3d34b95f8515e2dffc4af05bdaf1a
task338.onnx,-230,2485,2,frank7245;hoang,1c830400babc4a674d338ca4f188935e46b7697f86ac4caaed3208e2bb521faf
task343.onnx,-108,5018,2,frank7245;hoang,87a9d45a6408a9400653de13fd81235d9b110637624180719ab92a7e34d44168
task023.onnx,-91,17563,2,frank7245;hoang,e6b6bdc98ba133bade27bc921a0d54962282ef0b58760adac34d1bdd9e7fde02
task080.onnx,-89,6177,2,kaiwalya;lucifer_chimera,36e17e24fca43a2b28e293a492406bada2d9ac15e291da083786d145159f7174
task280.onnx,-67,13164,2,frank7245;hoang,53ea75fac3e988ff9f6842e1bd9fa533bdf14839fd65989fce46a6ec5e45ad91
task368.onnx,-65,2046,2,kaiwalya;lucifer_chimera,724fa04c57d5adc34f4f1740cdb31ca44377d811f26f343d37c67a3bd4dd5b31
task148.onnx,-62,5154,2,frank7245;hoang,b7e178f9e6bde90fd923d10769b5db4a3590e9e33f8055932bcdbb6c51a47da7
task017.onnx,-50,6179,2,frank7245;hoang,326bfb645c981339011004142ee05ce206b4fc83238f42b77fed5cdb42d1c080
task334.onnx,-44,1877,2,frank7245;hoang,4239f7770793560598537f35463bb77f39f8bfcc1e3c402d19f7d0863bcd4199
task027.onnx,-42,1929,2,frank7225;hoang,dba1d53af49771f191466f505b2f9dfb6ca75061d676886cb7ceb226c15cc39e
task184.onnx,-40,1891,2,frank7245;hoang,12e493fb0a3e728af71dabced8041195b7a296d78b3cd21bfe7b54d45d4d5b63
task225.onnx,-39,3680,2,frank7225;hoang,ca05d356f02f20afeceac04b2ab75edf4db31de656c0167b4c9b53b0a79686a6
task041.onnx,-36,1318,2,frank7225;hoang,1f0ec31dd6f1ca6776f2c99bfd1fabd01db2cad78a0efc878d71edc4de5524cb
task089.onnx,-35,6600,2,frank7245;hoang,7210f6ceeee6e3172a28f9812f905361adcd4081163f2e76a504b9a97b419f33
task029.onnx,-11,2343,2,frank7225;hoang,260934e99109cfb6660c365b0fa381c2ed9d6935142c48512242efb2c477adda
task046.onnx,-8,6501,2,frank7225;hoang,f35fe01a5e710ba1e85d8f2c66e66aa58cf10899967c774040ff60df1c1a5e45
task065.onnx,-4,2192,2,frank7225;hoang,9db27fca5c1383b63ec15710657512aeff75a87392c3773c2b00a98c2805e155
