dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_divisions_added,safe_division_skipped_cap,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25760,25923,24647,25050,36,0.9663233422057632,0.004386645962732919,0,0,0,0,0,138,113,0,113,113,226,0,167,0,0,4,24707,24319,388,99,24647,0,0,31,27,54,81,0,36,36,0,0,0,0,0,25847,76,1,6.966917002201081,050_lb891_safe_div_precision_final_submit
44b6_0b24845f,27504,28629,22467,26149,98,0.9133745502811834,0.03614019778941245,0,4,0,0,0,1532,994,0,994,994,1988,0,1160,0,0,35,23814,22846,968,99,22463,0,0,368,83,166,249,1,126,98,10,0,0,0,0,27654,975,1,6.966917002201081,050_lb891_safe_div_precision_final_submit
6bba_05b6850b,6618,6700,6146,6385,21,0.9529850746268657,0.0075551526140828044,0,4,0,0,0,57,50,0,50,50,100,0,84,0,0,2,6213,6032,181,99,6142,0,0,24,17,34,51,0,25,21,0,0,0,0,0,6618,82,1,6.966917002201081,050_lb891_safe_div_precision_final_submit
6bba_05db0fb1,71915,72986,65732,70537,226,0.9664456197078892,0.013112702496002224,0,0,0,0,0,1678,943,0,943,943,1886,0,1091,0,0,20,68203,66762,1441,99,65732,0,0,290,74,148,222,0,243,226,0,0,0,0,0,72632,354,1,6.966917002201081,050_lb891_safe_div_precision_final_submit
