dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_divisions_added,safe_division_skipped_cap,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_synthetic_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25573,25253,24598,24506,35,0.970419356116105,0.002971884409337974,0,0,0,0,0,88,76,0,76,76,152,0,24675,2,0,2,794929,76,0,0,6,24602,24039,563,99,24598,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,107,390,283,0,0,0,0,0,25247,6,1,10.022464660803477,exp112_ilp_disappearance_1_2
44b6_0b24845f,23723,21450,20367,20145,80,0.9391608391608391,0.023943008894321965,0,3,0,0,0,743,568,0,568,568,1136,0,23176,38,0,20,7975529,568,0,0,17,20980,20081,899,99,20364,0,0,0,0,0,0,0,95,80,0,0,0,0,0,0,0,0,0,0,0,773,2824,2051,0,0,0,0,0,21433,17,1,10.022464660803477,exp112_ilp_disappearance_1_2
6bba_05b6850b,6410,6135,6018,5924,10,0.9656071719641401,0.004836193447737909,0,8,0,0,0,35,31,0,31,31,62,0,5944,2,0,1,90837,31,0,0,4,6073,5877,196,99,6010,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,81,302,221,0,0,0,0,0,6132,3,1,10.022464660803477,exp112_ilp_disappearance_1_2
6bba_05db0fb1,70484,69703,65838,67663,211,0.9707329670172016,0.007377560864877135,0,0,0,0,0,761,520,0,520,520,1040,0,67851,20,0,7,5681582,520,0,0,19,67357,65589,1768,99,65838,0,0,0,0,0,0,0,239,211,0,0,0,0,0,0,0,0,0,0,0,337,1282,945,0,0,0,0,0,69691,12,1,10.022464660803477,exp112_ilp_disappearance_1_2
