task,arc_id,requested,generated,both_correct,base_only,donor_only,both_wrong_same,both_wrong_diff,base_runtime,donor_runtime,both_runtime,oversize_skipped,generator_failures,net_correct,classification,first_issue,issue_indices
task191,7df24a62,1024,1024,1013,0,0,11,0,0,0,0,0,0,0,no-regression,"example 11: both wrong same, differ by 26 cells","[11, 166, 172, 251, 367, 389, 704, 741, 753, 954, 958]"
task209,8a004b2b,1024,1024,931,74,2,5,12,0,0,0,0,0,-72,net-negative-risk,"example 13: base-only correct, donor differs by 48 cells","[13, 35, 40, 46, 63, 92, 110, 118, 145, 147, 150, 151, 153, 159, 165, 166, 186, 187, 201, 203, 225, 231, 238, 249, 261, 271, 281, 285, 303, 304, 314, 318, 322, 326, 345, 351, 362, 365, 395, 397, 409, 429, 434, 436, 438, 460, 472, 489, 495, 519]"
