task,arc_id,requested,generated,both_correct,base_only,donor_only,both_wrong_same,both_wrong_diff,base_runtime,donor_runtime,both_runtime,oversize_skipped,generator_failures,net_correct,classification,first_issue,issue_indices
task171,6f8cd79b,4096,4096,4096,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
task354,ddf7fa4f,4096,4096,4096,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
