task,arc_id,requested,generated,both_correct,base_only,donor_only,both_wrong_same,both_wrong_diff,base_runtime,donor_runtime,both_runtime,oversize_skipped,generator_failures,net_correct,classification,first_issue,issue_indices
task173,72322fa7,1024,1024,1018,0,0,6,0,0,0,0,0,0,0,no-regression,"example 247: both wrong same, differ by 8 cells","[247, 307, 338, 395, 526, 938]"
task285,b775ac94,1024,1024,1015,0,0,7,0,0,0,2,0,0,0,runtime-or-empty,"example 2: both wrong same, differ by 6 cells","[2, 98, 182, 293, 357, 417, 497, 626, 631]"
task366,e6721834,1024,972,962,0,0,10,0,0,0,0,52,0,0,no-regression,"example 78: both wrong same, differ by 34 cells","[78, 82, 152, 235, 329, 455, 501, 792, 832, 927]"
task219,90f3ed37,1024,1024,594,0,0,430,0,0,0,0,0,0,0,no-regression,"example 2: both wrong same, differ by 12 cells","[2, 3, 11, 12, 13, 15, 17, 19, 24, 29, 34, 36, 39, 40, 41, 43, 45, 46, 49, 50, 51, 53, 56, 61, 62, 64, 65, 66, 68, 75, 77, 79, 81, 83, 84, 85, 86, 90, 92, 93, 95, 100, 108, 111, 112, 114, 117, 119, 125, 126]"
