base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
3836,910,,0,910,18.186555400489105,159b7db4377d2a7d75a15aa8f84344e6d919741566944220da8f361aa1da572a,-3176,cost-positive,-410,True,660,500,,400,100,18.78539190157781,e923bcdc1ae6e86a044c3ca12ddf751a169c701f66820a5937a203b109fe2d80,0.5988365010887051,task331
4846,1072,,998,74,18.022718658369254,29162826fc46cd0fb54bdd0ac5339dce3489ffb44b35a38d4fba33e005f5523a,-3676,cost-positive,-461,True,1170,611,,514,97,18.584903040828404,87f1bf4fd165b26ca667f1c5f66a9afecdff3665e1def92f4fe28da40f0efebb,0.5621843824591508,task342
1984,2261,,2100,161,17.27643752772203,2bf0e3e9c15d0149cb996c64142eda65a49ae5daef0f85c948eac10504ba6846,-386,cost-positive,-967,True,1598,1294,,1109,185,17.834506524939155,5551a37bdb0d83b04d8de7a5fe217571757e1aff4216f14d263fcfa42cdc2cce,0.5580689972171236,task034
963,168,,0,168,19.876036020596743,70d055d527158aa58d649de095e8f8c932b6852fae95be66a3dd6f1a1c5baedb,-363,cost-positive,-69,True,600,99,,0,99,20.40488014986541,3a9df8ceb7069f91d2d26f9296eff2ab67806300d24acd522211f3a804aed65c,0.5288441292686663,task028
1823,4515,,4320,195,16.584839534148912,df504e26fefe294fdd9f7bbaec7a43761037cc58bb0b26ea6eb5cabf0671ed9b,-820,cost-positive,-1852,True,1003,2663,,2628,35,17.11279141418607,ccc7bbe90056b010ef94cdc25510741291a982145e35f72b67e6d7c995f7b91d,0.5279518800371577,task251
39061,6819,,6563,256,16.172531887479344,954190a7749ebd5e20e0584f14707f2b8b155364e0dd2b25ee572c80139ab215,-26108,cost-positive,-2780,True,12953,4039,,3847,192,16.696247584436588,14f7ecf0fa38c088cdaeed1d5f142bcf04082d4d54600159f2e7e05fa3a7cc6a,0.5237156969572432,task157
371,40,,0,40,21.311120545886062,e4316bf775feba0bc9dc82c0472b0b990aefde5fb40341dc51ca6d6f221e9fac,-50,cost-positive,-16,True,321,24,,0,24,21.821946169652055,ac704419012fdb4ad9b3d016b19131dc20aad28cf8867e4d0121fee4f26f6102,0.5108256237659923,task073
1418,300,,0,300,19.2962175253438,1ec138f2d3eb7c3bff39f95ed07c6c92c2c570be38055787e8feacfe2febf703,-466,cost-positive,-120,True,952,180,,0,180,19.807043149109788,5ce4cbdc653f2339cbdf91853e67c2f4f9dec1d83a993c730da26fe9ec148e68,0.5108256237659887,task321
4913,1941,,1592,349,17.42904141683099,bb463823cbf811270750c2926320bd908e78fa1b6bfbdb8f6c13d4a9a544162d,-2089,cost-positive,-772,True,2824,1169,,358,811,17.936096038527932,6414c2eda9be72073ded28a5b986a93f408c6e64505840ecdca95250d1f350c0,0.5070546216969412,task392
2599,2066,,1952,114,17.366630350320417,acfef9626c868fb48ca5ed18190fc65afe8dc36a63cafbe5d46011d64e2ea1a6,-890,cost-positive,-792,True,1709,1274,,1182,92,17.850083163867893,348a4d97aefeb91ec5f54dffccbf89a9866a15f3c0e3b4047d12358599750f1e,0.48345281354747627,task246
783,1393,,1200,193,17.760785026220194,15d15fcf6d0a2f8ea9c864a618fa2f79d2f343c39ba89c051a6c39429ddd0b7c,-48,cost-positive,-521,True,735,872,,800,72,18.22921057609102,643e3357efd5d89d3d667f214c52b757cb1a5064c9d528b2ca8de70147a21f8f,0.4684255498708261,task369
5072,3091,,2974,117,16.963750057867884,8d53220134f66c4d6ea7b2cbe16aec67aef316feb7c4ea4a043ef988595f91e0,-2865,cost-positive,-1111,True,2207,1980,,1934,46,17.40914787631142,d9534edbbde94b6e0916add9f3488a6a7e13b27198b44a7d0a2ca501086a92e9,0.445397818443535,task378
2804,958,,769,189,18.13515222202914,8c39d5354d91425c4782f4db731a400e8694155933d87be5e678caf0b93d7cfd,-952,cost-positive,-329,True,1852,629,,598,31,18.55586874329956,67ea2e69007546355690381c1f9f2e48d183de62ed4fb6b6537ffa1cd0de2685,0.4207165212704176,task288
3853,910,,0,910,18.186555400489105,2fe8dc13cad1deb1a8c198888aee42d5815814b2a2df5a1ced53452f033b7add,-3371,cost-positive,-309,True,482,601,,500,101,18.601405065464792,d54c717eade7afa6f3830590d1aa6ba498c7bec264f5425bca3fab105b967924,0.4148496649756872,task294
2800,3794,,3637,157,16.758823849505042,d3dfb2cdc312da5f088350dd008be9375a3542d6d40fe0b3ea2910c76defe368,-504,cost-positive,-1210,True,2296,2584,,2495,89,17.14290613509751,284473aaa644ef5d3a1453d6785e4b2c55b0c31b4ce9fead320ce2559419a0b9,0.3840822855924664,task358
2007,2217,,2164,53,17.29608979038369,24f9c01c8a7659febb273617c56ec6ec8fdc75301e530e9abc0d5a4b3cd18a17,-697,cost-positive,-701,True,1310,1516,,1473,43,17.676169433797682,173b10cf483cba0bbb6fe15852ebb2ce21f3978e97b5593a1d0aa73b6ed4a279,0.3800796434139926,task374
1714,1380,,1170,210,17.77016122184875,2b5f2b72577f6f760623197bfb2ab9bc4762afae945564d0bfe7ebc01cfdcc56,-334,cost-positive,-370,True,1380,1010,,932,78,18.082294390164694,7ab1753a6d6407e1bd3f20115005d1a4bed20d0c51b4a00aa595cdd4bc0ad55c,0.3121331683159454,task335
6737,5695,,5568,127,16.352656124118717,ec62415cb08530ff70e410cfd34a811953bb10617017cd31c0648cd493fe02aa,-4339,cost-positive,-1489,True,2398,4206,,4000,206,16.655732643737355,6eab7bda304bfba156351009e38cadee5e8a9d12b74f511cb89e42ecb6c44a02,0.3030765196186387,task382
3834,910,,0,910,18.186555400489105,60b721e8d62197c58d9fd25424832cde07e54d789c0e3f10b093f677c7961847,-775,cost-positive,-218,True,3059,692,,0,692,18.460414044382333,1675e6f496e5f83b0c59d8d7131ca1100b8c5dc17466f22a530eca1e88774541,0.27385864389322734,task344
