base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
1354,1787,,1730,57,17.511706484840573,9fb1e714e20f32f128f2e0d784592ded91f0fa89645787d11e687c65bff6a0eb,675,cost-neutral,0,True,2029,1787,,1730,57,17.511706484840573,2889c595482611600f4aa353bbbb92ffcadedbb52c0a41e31504b1d3848afe58,0.0,task041
1830,3110,,2792,318,16.95762199482672,750708a9a5332fbd8c065a17348a4b924a31c866117c6b9319e896e0ab2b652c,193,cost-neutral,0,True,2023,3110,,2792,318,16.95762199482672,6f806d0e83fc0b09a72c750998dffb6edacd0a1b3c89ff9a14f5359f44b400a0,0.0,task042
1786,793,,588,205,18.324176778365153,f779cd25faf94b2cb7aba327fd656159c8993ea8751767ae384105af8f1dc153,340,cost-neutral,0,True,2126,793,,588,205,18.324176778365153,a8e8a370b1809b534a78e24a3fc3c0c42a0f50d47324eded80d9f5b2cc72ed84,0.0,task043
875,3849,,3825,24,16.744431346716254,1dce119c54e7b1968a46a6d8ef8e6ef0957d7bb1fa78d57c57f9ba5ded39e600,449,cost-neutral,0,True,1324,3849,,3825,24,16.744431346716254,9eeffa34e6f8e42ecfcdf0ce1604502b3934ee44df4ae08f141a84fb16f85014,0.0,task050
175,30,,0,30,21.598802618337846,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,24,cost-neutral,0,True,199,30,,0,30,21.598802618337846,75d840df9317bb0b3af9bbb578c18ffa62ede8d87214bc168b822a524dc30c0c,0.0,task053
859,34,,34,0,21.473639475383838,a5d7b219941d1f76d28f1a9315c0e6e964a5b9902a851c8055464c5060a15fc5,187,cost-neutral,0,True,1046,34,,34,0,21.473639475383838,ec7185574310ee54de74ed39f47cd2ae2d451a647c7055fee2e48a24cef4b8ac,0.0,task056
1367,668,,638,30,18.495711826463356,cb0320957f8280498ce363280dac5110fa977cd41c94e7e44668d34bb6412224,523,cost-neutral,0,True,1890,668,,638,30,18.495711826463356,3ed1385d3c8d40d2d5aefddb186486da0585163fe6fbe4cc63fcea120e174108,0.0,task057
2021,547,,257,290,18.69555119757802,b097c826846442cf8e61477d38956c648e8076867df5b5b8ae807c6a2f2f8e66,-25,cost-neutral,0,True,1996,547,,257,290,18.69555119757802,5b7e053b8d0f6f84025b217aace2dc5a0b11a986686b70f36ebebb7698f6b60b,0.0,task059
4138,2524,,2465,59,17.166399776338896,84ba2b1baf9ad0620d1c442497239ce770f64ddc1a9a38db66f6b15bfbd308d5,102,cost-neutral,0,True,4240,2524,,2465,59,17.166399776338896,a09ced619a10bfc97055ee3d5803f9749c009e600b0b6ee9ff80860d741c1c54,0.0,task062
145,0,,0,0,25.0,496966b0f14bde7f7eef61fe958c32834fe2976d911184da7d44b859f2d776e6,8,cost-neutral,0,True,153,0,,0,0,25.0,8c8c1be4c0c3cb7caa447a3e412ff2466073edbff1b31a7790d2b5e0684b8bcd,0.0,task067
1693,623,,500,123,18.565453481212547,4dff0626d4da16c33bac4c0edd9a6b73856b403fcb124505fedd4dadbedc15ca,-33,cost-neutral,0,True,1660,623,,500,123,18.565453481212547,29724026cbdc38e1f7cb80e81d555740ec81e8dd7e6a986559fad37d6388d2cb,0.0,task068
2903,2949,,2864,85,17.010778591184724,000bcfb2908cf36e489ff6a1c0100e7c928841caf1c88d6a1108c29de4bf8787,1418,cost-neutral,0,True,4321,2949,,2864,85,17.010778591184724,3f1c05de8068c9b1133cc022813dd453b479945574441a0137719c9762c64c77,0.0,task069
1863,1682,,1440,242,17.572261159467107,8ddfd08c064d265733cd07d03f7033d49b7d4595febf9099d7b5bf5025004422,480,cost-neutral,0,True,2343,1682,,1440,242,17.572261159467107,33a34050cb9f383e2b2c8f4e4670eaad95da6a632016bcdac188805a1e883684,0.0,task070
446,421,,390,31,18.957367166317617,c4fcd4c3f9fc186b44d4f723ae3d94067131b39cdcd4c25329546a7cee4b0102,299,cost-neutral,0,True,745,421,,390,31,18.957367166317617,a1bc919c339cfd0d8878ebed68d3b904a9ca7dcee09e50248f67a0da9f9fb65a,0.0,task072
9771,12825,,12738,87,15.54084832996103,57d84bad3868e2717c65fb4821dfbb588a172c3cc39a7acf529a5b2973da8b49,148,cost-neutral,0,True,9919,12825,,12738,87,15.54084832996103,176444e19955e4311fd08fffe609c54550a8b13fbd8e4cdf73382f669db12d60,0.0,task076
979,7657,,7620,37,16.056624458886876,99f5e5425893037413f1bfbece16fb903cb615dc1dc01b0ea30cefa7c6fb5555,854,cost-neutral,0,True,1833,7657,,7620,37,16.056624458886876,a531421be9cda1b46b3a7d9680fc55df67aeb72adfdbd3d924f065bf0ef54a96,0.0,task077
3101,3114,,3039,75,16.956336647606058,d6c521fcea56555db14da5d903b3394d7716dcb704b7c0ccec57306ef1cdd1d5,1896,cost-neutral,0,True,4997,3114,,3039,75,16.956336647606058,f305f394835aefa3536a34baff3560667894f11bbb77a96319261df067e5d642,0.0,task079
821,464,,392,72,18.860115447773744,38ec9f3fe8fb654ba69cc258a2f163709366d5da6aad62a98a3cec6cb57433f1,119,cost-neutral,0,True,940,464,,392,72,18.860115447773744,8302e3dbb8ce9fa3f833d7e9425ce7c5b2c6bce0942c2bc58dda6d4dab5e109b,0.0,task081
989,190,,0,190,19.752975927839515,e050837db177e7d6b2e5ad5c4cd76bcf19e85a0aedf3fc265056d75870d80446,7,cost-neutral,0,True,996,190,,0,190,19.752975927839515,a3d11c83f134bd762a584a0c03d1ee66bdadc894b862e022f6bfd8c56f94da46,0.0,task082
1027,210,,0,210,19.65289246928253,292a56e292cb99f0b6376e103ef994a21e8aa2940d6f444f56e613b793bc8a24,68,cost-neutral,0,True,1095,210,,0,210,19.65289246928253,e560c2ce47a387d63833c08adf57618ea1c080655d704aec044bab5eaa6f675a,0.0,task083
382,5,,0,5,23.3905620875659,d4830ee432562703ce0e624377faf58bf72b5433e6b4616e8268be0d20a86dc8,2,cost-neutral,0,True,384,5,,0,5,23.3905620875659,2a8322fa3f67dca8549f9714d598038d26329a01a5f2bc5438ef6c67ad15aefc,0.0,task087
3349,1872,,1791,81,17.465237342962464,4b3fb33cb0edb9f1a94dd71226b12073656e8298f0b43d727cfa8576c0fcad74,510,cost-neutral,0,True,3859,1872,,1791,81,17.465237342962464,c2543f88ff8525011ec5c9a9ea7d09c0fecf2439ac253c1152e6c910b0588531,0.0,task088
6635,6739,,6585,154,16.184333175053784,ad3b8a7ebbebaaaa65548d3e085ebd6936f24e0366447b8628cbb1c3fbd209f3,-479,cost-neutral,0,True,6156,6739,,6585,154,16.184333175053784,90c482b8aa34c73e75f5931f50aa4bce910a508424d261279f789a3392f8d1af,0.0,task089
587,345,,245,100,19.15645558296864,e3212af213f8b2799ceaa19a24ec62248dfb084bf6216535e58cb6020a2e8f7d,16,cost-neutral,0,True,603,345,,245,100,19.15645558296864,7275bf3a38a6455d9d77bf4134659743702c9e5edb00d6baed5712f6dcbd280a,0.0,task095
13981,7678,,7260,418,16.053885624439257,0cd8a44505bf98a3ac6396525b017305d4fe361d3dc67e626e0e26f902c4c220,-125,cost-neutral,0,True,13856,7678,,7260,418,16.053885624439257,ee6af9d67f57ea26f58ce7ecc633a65ef6666d1fd22b6f7a23413730a78a1558,0.0,task096
3794,900,,0,900,18.197605236675688,5aad8d8ffb260eb0c90abfb93e28e88c772f7afee8bdf4d318e99c3266a1209c,-6,cost-neutral,0,True,3788,900,,0,900,18.197605236675688,39ae3f26286b4aca6ddccda349aa9e9689865c6ece232144130cffde9c2a03de,0.0,task098
1861,2527,,2414,113,17.165211892611808,22ad045903cba5b5ed2617127a1ed8cf94e637ae0689f7b6253770f78bd8b7b7,232,cost-neutral,0,True,2093,2527,,2414,113,17.165211892611808,22a5dd5b72cfb667e0db0144064fa92c695e821642f90cd1732ff18ef355203b,0.0,task102
1410,300,,0,300,19.2962175253438,4d857e771a6685c81102d5df031017eb54270e27be36ee3bf5387a6b9f375eb1,68,cost-neutral,0,True,1478,300,,0,300,19.2962175253438,3923942672b1340327be21219c833a20d8da945832f08b8bdadcded8097a6271,0.0,task108
4445,10327,,10104,223,15.757482896328597,9acdfb9bca16c2fef4fc1625b052e27dbacccdf25cc273a25539c34e75816176,2734,cost-neutral,0,True,7179,10327,,10104,223,15.757482896328597,febba1069000ba2b4b86681c9547a2617e28d6bc78732baf8fd67e8532d0201e,0.0,task110
499,30,,0,30,21.598802618337846,356a5f1e2200cf2560f6c836ce7d21eca6b6cad9e68015c2ae31639613ef9b09,24,cost-neutral,0,True,523,30,,0,30,21.598802618337846,e815ae7f0819abb877edafdcd866c1cd3f171d5eeb41a99b76b95563ecf33bf3,0.0,task113
479,30,,0,30,21.598802618337846,3f87aab73b8c538752ffb070a34dd07ef95ccba2d299bd7526da67fcf956e1e5,24,cost-neutral,0,True,503,30,,0,30,21.598802618337846,99ce7a7c67fbb3c8aba8acb78e7a2d814eb8ac70c114d064dc16183c8271a02a,0.0,task116
2908,3795,,3592,203,16.758560310170267,f346b1d939f3d2b3bcb31036193f72bddc331e247c66216df9e3865c2ac36281,1594,cost-neutral,0,True,4502,3795,,3592,203,16.758560310170267,b9b5bac570aae288488d280c45d01d946b3dbf2f85ace1efb6c0264ceb0ccace,0.0,task117
4641,1363,,1243,120,17.782556568303466,488903940d8825d9fa200cf6dce80cd5754aca5b04b4f0e19d65d6c353659a0d,262,cost-neutral,0,True,4903,1363,,1243,120,17.782556568303466,a1fd430df307b2c36358b329bb3082f263c297b70fb219026eb2790ba312c47f,0.0,task119
3840,910,,0,910,18.186555400489105,eb3ffdb92f73a07885e28c9c854599a7a64da2ae4d978c39abe2506e11201ec2,40,cost-neutral,0,True,3880,910,,0,910,18.186555400489105,0785e5a0983b2b5c6b626a8b0d271359db71a4c00c97d2ad82d835bcf5d32754,0.0,task120
2583,326,,260,66,19.213102618633293,9c552109e66313e735d5f9f805edbc1016c5a1003c61b6a6bb8490fbbfabcec5,990,cost-neutral,0,True,3573,326,,260,66,19.213102618633293,43b2daf57df270bddde309cf28e2453b016783cb39720f368c4c6724fdd0636d,0.0,task121
3470,810,,0,810,18.302965752333517,9d256b458e31da4423eee2f1c90ac42204a8e573ea622c1b679c25865828eabf,20,cost-neutral,0,True,3490,810,,0,810,18.302965752333517,0f45119933d69b232377b1910817ca63cb027dd9045d346bc5773e30bacf0001,0.0,task122
4922,1342,,403,939,17.798083682468373,0430094cf07093b3d9c3ca41a4936bc34b8a2f31584711171a369fb1821a2d49,-4,cost-neutral,0,True,4918,1342,,403,939,17.798083682468373,e1e3a5630a76ffb3ac41dbe5ab161673e3c681b68f3e3bbd24041b52011bd5b0,0.0,task123
2689,1953,,1879,74,17.42287806912332,26b8e6ed0bf7af2854fdb0a212b36b36330a4412f71ab683aa5681c557ac0ab7,145,cost-neutral,0,True,2834,1953,,1879,74,17.42287806912332,344513279fcf3470506cd22a8b685ea89c8a10b98d164d7b2c29b2b5cbcccc55,0.0,task124
1405,3463,,3434,29,16.850109455597575,31e9c6926235af578469115777db7fb3aa2812ed0d683f2edc93558bb6d1a52d,138,cost-neutral,0,True,1543,3463,,3434,29,16.850109455597575,9af5387e1999a34ddd8619dd38588cdc3ece9fab9c7210fbcb94b3fabaddf142,0.0,task125
1334,605,,590,15,18.59477154196916,9237cc39bcc3eebc6e19bed132bb01c0083932c9323f8dd68f8082fe28f2d5d8,83,cost-neutral,0,True,1417,605,,590,15,18.59477154196916,065148408a5ea28dd0640ad8229133098021c26889341aae681024af34adab6d,0.0,task126
752,136,,0,136,20.087345114263947,cf78e3413eb95e5f4c2a3afa871de3440ebf210182829190b7e8c5e6e2ef9a56,49,cost-neutral,0,True,801,136,,0,136,20.087345114263947,55f3fb3dbce8f4f4c5f9197f207c7b159c1d965e76bb0cca8aea356493473106,0.0,task128
