base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
2695,3389,,3263,126,16.871709828392948,ca3758bf7f3244d531c543412a3700385691adebbfdc6578ecaea416561f6469,52,cost-positive,-372,True,2747,3017,,2914,103,16.98798176084094,01ea05a96bb8f1c7242350bdac8299319bb0eeb664a0f82a8c32b03ad3c8fd59,0.11627193244799017,task137
5624,767,,715,52,18.357513198632745,d0a26d3a67e5ead3ce013599f45b8ba336fb3c422fa29546d44ba19a0b60e7ac,-397,cost-positive,-82,True,5227,685,,628,57,18.470581161737776,cf8a2ef1fe05b35fa959e814c5646e7b2949a6bb4be88c0d115dfc5dd8812e62,0.11306796310503131,task153
2266,1682,,1578,104,17.572261159467107,93cd5d7c7bd5ce475995eb36bb7f09c9ee07f9e6ed21595e026e89edde1cd19a,-67,cost-positive,-173,True,2199,1509,,1464,45,17.680797541232153,3c616a72a1240d33db077bc63b37d335abc8e329245568c4fc633f60b385caa8,0.10853638176504532,task185
989,687,,650,37,18.467665707777652,f0c7e763ebbfa6bd3f8d24eb82843fd6d6d6a907cf3874e8c0c60a42b7acfa62,86,cost-positive,-69,True,1075,618,,584,34,18.57351154254231,8dbb375e91f53c5d8264474a81ffb1eeee6455b8c5444ccf882fd8c2f8d75742,0.10584583476465781,task254
1623,1187,,1141,46,17.92081560539033,7421c21c0b38642b544ee56b1583efe0920c27d9393a54e6855d4e5cbf5a1979,-55,cost-positive,-113,True,1568,1074,,1019,55,18.02085472493119,1e128770e5ada12e42341178f3861027918870b2c9d888970683690922a63a14,0.10003911954085964,task271
990,1229,,1200,29,17.886043890433967,91d5bee2ae4736b4512997b694aeea1262276bea276f76c91e520ed4e9a31cf8,-19,cost-positive,-109,True,971,1120,,1064,56,17.97891603571086,34fc7ba71a63f4ddd064b986c254d759e5553efe0b552f4cf2b39542f414789f,0.09287214527689258,task351
972,1706,,1680,26,17.558093271948376,953a9e7991337bbc92c449d98e496bab2235e5fa99f46e837045c1f43e75eda1,-114,cost-positive,-150,True,858,1556,,1530,26,17.650126295261664,4458246563b581bf6e91262463b9bb36cea7f77581f1563f483adc77c22faf53,0.092033023313288,task063
5055,1935,,1620,315,17.432137394536117,23f1fda8668057f315f3047ee6373566dd982918084b3ac6020d68f005966cd3,-1211,cost-positive,-169,True,3844,1766,,1416,350,17.523527618836095,8b9bb9ef5bfda4b8932a8dbd887b666b71b09d3df47d088e92ebb60baab01834,0.09139022429997823,task238
1954,1320,,1080,240,17.814612984419583,72d162fc932fd212b6cb6758f55818e5e69cb93a74bae46049c9157c907bf137,-712,cost-positive,-102,True,1242,1218,,1096,122,17.895034551730156,f3e8d8f46fe124b8d0604168f425e3986e1cbdbe61795589d27a0bc47ea7516c,0.08042156731057304,task304
1619,709,,685,24,18.436144473467873,83610e0c56cb310b92749d325a20686510a86801edc2945be91895f47452b2fd,-792,cost-positive,-53,True,827,656,,630,26,18.51383921105591,1b85c025ed5ba3fa7a0be116167ee7809acb3e89ecc801403accf41f54b03b65,0.07769473758803613,task269
735,1181,,1172,9,17.92588318380264,74bb526e867fa4243fab3aed44e15c060cbf5455badadcadcc6cf79f98a5e195,79,cost-positive,-87,True,814,1094,,1040,54,18.002404017018073,6c33828abaf6a16fe3229012f1f69d32cff782a5227bf9a94677e33d32c05874,0.07652083321543302,task400
3506,2398,,2280,118,17.217609664412542,5734d814d1f0e855d7a174a2c66a0062c30aca35d2cd9f4066155e5f1e41824e,-1564,cost-positive,-174,True,1942,2224,,2108,116,17.29293734462953,15453e2433f3d3dcf56be5e0338fa40ddffb6e8ce3f79d18139d130f14dcaa93,0.07532768021698644,task085
1679,2038,,1797,241,17.38027578621733,d7217e0bb5b86f0ff7eadc683a638b071dfccaf37f8099c59053531ef3d91aa0,-709,cost-positive,-143,True,970,1895,,1817,78,17.453025882483473,cd937e76e6500418e17777394c2f0bbc798cd8bcbcdcf7cec47554db7877d688,0.07275009626614448,task084
1400,236,,192,44,19.53616819497439,2920def49433195fdd7bb263c4962c07ad72e80ab43303d8c1cb19b6d3b462d3,-156,cost-positive,-16,True,1244,220,,116,104,19.606372453647637,766a81cfd2cd2227366d178f94045cd3867c8787f8d57e1eb6e288122ca68932,0.07020425867324676,task207
2872,1744,,1643,101,17.536063395531073,8578b1dd81b132ec7a6e9a5601457498cc26610c33c3a954bfea8271fbf3ae24,843,cost-positive,-114,True,3715,1630,,1528,102,17.60366470619919,a6ab8ce25064db8e6705072196e00513813c36bafac2d7578da708991904cf88,0.06760131066811681,task051
2111,3557,,3453,104,16.823327228051546,bfcad152fcd8c9093d38727547e76262e0ac5664eb5bf809639d5df164b0f7dc,-161,cost-positive,-215,True,1950,3342,,3237,105,16.88567529084466,988336b8b2f2d3d84163a673b6c87632cd1e167669cbb0dc0fbfd0a9228d6859,0.062348062793113,task368
