base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,different,donor_bytes,donor_error,donor_sha256,task
1846,,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Conv, node name: safe_name_11): [ShapeInferenceError] Attribute pads must not contain negative values
",,,,853d7e92044414765ace7f061ffca8a59da1e8f4876c0750e7760beeb91584f8,10412,both-unscorable,True,12258,ValueError: network performance could not be measured,80dc4b773b3331b6d307ac950fa3921a86133d1eb98779b0118ca9898331b588,task118
4641,1363,,1243,120,17.782556568303466,488903940d8825d9fa200cf6dce80cd5754aca5b04b4f0e19d65d6c353659a0d,7617,donor-unscorable,True,12258,ValueError: network performance could not be measured,a070f13a7bf69e5640b8bae248c2e45ae2681dacdfc8dfec05c7bfd1f13a2223,task119
3840,910,,0,910,18.186555400489105,eb3ffdb92f73a07885e28c9c854599a7a64da2ae4d978c39abe2506e11201ec2,8418,donor-unscorable,True,12258,ValueError: network performance could not be measured,5484c4cf54cdfa07dba9d5e7dbf541450b2bd8c846d07cb81d147da1ac35c354,task120
3470,810,,0,810,18.302965752333517,9d256b458e31da4423eee2f1c90ac42204a8e573ea622c1b679c25865828eabf,8788,donor-unscorable,True,12258,ValueError: network performance could not be measured,2bc37b9ec823068c3242eac6c4bb696cf886999e1e9b1a66c861f4974a466b96,task122
1405,3463,,3434,29,16.850109455597575,31e9c6926235af578469115777db7fb3aa2812ed0d683f2edc93558bb6d1a52d,10853,donor-unscorable,True,12258,ValueError: network performance could not be measured,7ac05a001c848dfa21524ef6a796f0e37f14b53e010b0da629a34741040d7810,task125
1334,605,,590,15,18.59477154196916,9237cc39bcc3eebc6e19bed132bb01c0083932c9323f8dd68f8082fe28f2d5d8,10924,donor-unscorable,True,12258,ValueError: network performance could not be measured,61ed2b5f07131e870fda11f03541d6a727d896207abc26433416ed06a088c63b,task126
1269,,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Conv, node name: safe_name_2): [ShapeInferenceError] Attribute pads must not contain negative values
(op_type:ConvTranspose, node name: output): [TypeInferenceError] Input 0 expected to have type but instead is null
",,,,2041113aee553ca01f97e936ef9ea89a615ce9719d08609e52758abcafdc88d2,10989,both-unscorable,True,12258,ValueError: network performance could not be measured,389982ace73ac6f3506dca57134add402d7ee7e74bfc75f14101c881e97a9d40,task127
752,136,,0,136,20.087345114263947,cf78e3413eb95e5f4c2a3afa871de3440ebf210182829190b7e8c5e6e2ef9a56,11506,donor-unscorable,True,12258,ValueError: network performance could not be measured,0363cab2d77f5305149d24bfeb186bd21675059d8b9c471ac1d85a8671af522d,task128
298,80,,80,0,20.61797336532612,0a5f6e5eabed3dbd3b710c59c3dc4379fb147540f4700b58d5165bc519e4e958,11960,donor-unscorable,True,12258,ValueError: network performance could not be measured,180a4402abed39d372b97c8e6383358103b9436bcc8072e70b22c05a66e0c773,task129
5512,3874,,3235,639,16.73795715603306,79ff05f1116e16a8f7198a96b75fb7b9e84664a2e376311b852f51f20c5da67f,6746,donor-unscorable,True,12258,ValueError: network performance could not be measured,877400fe92e7a45babcae701a30dec41282436c6029655e8cc38db1196f7093a,task131
3928,1260,,1176,84,17.861133000054476,a8b6a771c3b1b30dfd0ff9d884ecb5fe8de188009f0f476279f3ef7ef68a9fa2,8330,donor-unscorable,True,12258,ValueError: network performance could not be measured,bf97da02e1b336ccdd4b650845ec7bbb52ba3a8d0281cc436382fc472783ab56,task132
6827,21135,,20118,1017,15.04131428699911,1a494711bd97b819e08570a0e180efb81d9a64fb76b8a3985892d15d57863086,5431,donor-unscorable,True,12258,ValueError: network performance could not be measured,d0ac1f3bbdd52b533370080297de06f4cfe55936ef9d270c6e04057bbe175017,task133
3167,1194,,1159,35,17.91493570604745,4430b1c3c181a69844eedd5545e05d0ce6509471864a0935e98f230f8afec3b5,9091,donor-unscorable,True,12258,ValueError: network performance could not be measured,792e7c22d437fb758a75f0ec9d688c2ee7e75e0cfb32ac5a669bc2cc6ec3ece1,task136
2695,3389,,3263,126,16.871709828392948,ca3758bf7f3244d531c543412a3700385691adebbfdc6578ecaea416561f6469,9563,donor-unscorable,True,12258,ValueError: network performance could not be measured,174ad2e0482750e7d329b1bd839f82a303f3452c8b7f68f50f4725382922674e,task137
934,904,,765,139,18.193170639607825,b73deb3fe67d3d7c4fea3589637ee4ca48b45493af3aca6e3588d0aee9628899,11324,donor-unscorable,True,12258,ValueError: network performance could not be measured,56dd3561bf4a8163eea94a599b2ea99fe259878f3337b3de4974178bcbd61599,task139
382,5,,0,5,23.3905620875659,d4830ee432562703ce0e624377faf58bf72b5433e6b4616e8268be0d20a86dc8,11876,donor-unscorable,True,12258,ValueError: network performance could not be measured,9ead47e490ecc615d9288889cc5b9ad2979e05f5869207ff5c771392bdd2cba0,task140
1472,1383,,1281,102,17.76798966833524,78b24d3c4bc848874427e8e31cb50ee4a3c3bc8fbd3ce6b9fe02b3b9999d50b7,10786,donor-unscorable,True,12258,ValueError: network performance could not be measured,fa383eed72b0714e9b49e3b09960324043701ca43b118c0a2524fe470ec0b2d7,task141
