arm,adj_edge_jaccard_all,adj_edge_jaccard_6bba,edges,forks,agreement_with_ilp
ilp_only,0.9098762536013554,0.9029753175873557,138671,0,1.0
incumbent_full,0.8935894960246977,0.8877332951834666,140022,363,0.8906255950027109
trackastra_s2,0.8303976791933385,0.8206609944221167,138321,2485,0.9116537748842152
trackastra_s3,0.8631300153194524,0.856684014772038,140488,1678,0.9264177936405069
trackastra_s4,0.8596004816241058,0.855513918597894,139059,1376,0.9191773749583936
