dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_divisions_added,safe_division_skipped_cap,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_synthetic_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25478,25196,24535,24451,34,0.9704318145737418,0.002668969306852971,0,0,0,0,0,79,68,0,68,68,136,0,24592,2,0,2,759258,68,0,0,6,24534,23972,562,99,24535,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,91,344,253,0,0,0,0,0,25190,6,1,9.966963267326355,exp113_ilp_disappearance_1_6
44b6_0b24845f,22124,20178,19302,18936,70,0.9384478144513827,0.019842704755017176,0,3,0,0,0,565,439,0,439,439,878,0,21652,31,0,17,6008262,439,0,0,12,19755,18958,797,99,19299,0,0,0,0,0,0,0,78,70,0,0,0,0,0,0,0,0,0,0,0,606,2373,1767,0,0,0,0,0,20165,13,1,9.966963267326355,exp113_ilp_disappearance_1_6
6bba_05b6850b,6270,6032,5925,5828,9,0.9661803713527851,0.003668261562998405,0,8,0,0,0,24,23,0,23,23,46,0,5625,1,0,1,66569,23,0,0,4,5966,5773,193,99,5917,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,64,257,193,0,0,0,0,0,6029,3,1,9.966963267326355,exp113_ilp_disappearance_1_6
6bba_05db0fb1,69390,68659,65109,66615,191,0.9702296858387102,0.006398616515348033,0,0,0,0,0,654,444,0,444,444,888,0,66824,22,0,10,5238764,444,0,0,17,66406,64683,1723,99,65109,0,0,0,0,0,0,0,210,191,0,0,0,0,0,0,0,0,0,0,0,288,1158,870,0,0,0,0,0,68649,10,1,9.966963267326355,exp113_ilp_disappearance_1_6
