base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,point_delta,source_count,source_labels,source_path,source_paths,task,task_number,variant_bytes,variant_cost,variant_error,variant_memory,variant_params,variant_points,variant_sha256
587,345,,245,100,19.15645558296864,e3212af213f8b2799ceaa19a24ec62248dfb084bf6216535e58cb6020a2e8f7d,505,cost-positive,-137,0.5060063373300423,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task095,95,1092,208,,0,208,19.662461920298682,05651c20d66acf86fd6952b5887f6e9aed7f0de06a2a12ba19bedb4792f3fd73
6814,5657,,5530,127,16.359351004656844,7d3a5888116cf7a335ffb3f985bab8500f85af6c18e6f22ddf564ba67fe1a09a,-4416,cost-positive,-1451,0.2963816390805114,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task382,382,2398,4206,,4000,206,16.655732643737355,6eab7bda304bfba156351009e38cadee5e8a9d12b74f511cb89e42ecb6c44a02
1556,2825,,2600,225,17.05373635641946,52b1dbfed9812c7d61802191ad36e5134ccdd4b0f5294056bbedc1d90e1fe677,307,cost-positive,-704,0.2866206890158587,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task330,330,1863,2121,,1980,141,17.34035704543532,b9e27000233af9777ab5b300fd967c78cc5bc24214c7b31eb3c2656f5157308e
875,3849,,3825,24,16.744431346716254,1dce119c54e7b1968a46a6d8ef8e6ef0957d7bb1fa78d57c57f9ba5ded39e600,58,cost-positive,-849,0.2492010856335014,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task050,50,933,3000,,2925,75,16.993632432349756,e1f6096c7b36d6092d9a54cf368aa4d00357c40dafd24581359821bea35cc921
1798,1563,,1442,121,17.645637669578523,25356d28577ff75e6bfa8fb60b841028cefdffccadd2ddf3476504a026996e38,-89,cost-positive,-289,0.2044454942893701,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task246,246,1709,1274,,1182,92,17.850083163867893,348a4d97aefeb91ec5f54dffccbf89a9866a15f3c0e3b4047d12358599750f1e
1721,3540,,3501,39,16.82811799387218,fbfca4d3aa2fd587f98dd5c1c0251d7c41d84af1335ab6955424d6c25e05c383,229,cost-positive,-213,0.06205573010934273,1,"[""nctuan-neurogolf2026-nct/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip""]",task277,277,1950,3327,,3002,325,16.890173723981523,07f1e5ed7704a67d96dbaaf665023af880579b8348d029ab2fa347b883ddb633
1721,3540,,3501,39,16.82811799387218,fbfca4d3aa2fd587f98dd5c1c0251d7c41d84af1335ab6955424d6c25e05c383,283,cost-positive,-209,0.06085416793414211,3,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task277,277,2004,3331,,3002,329,16.888972161806322,13e2259fa3b5e12463caf06e200d50aed016423c2631d88535965cc2ab4562f7
1160,426,,388,38,18.94556065373063,87169a9c1976a26df16f68a281f53df41e14cbd27a145dd57b94f56f84aba43c,-278,cost-positive,-20,0.048086186667635644,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task316,316,882,406,,359,47,18.993646840398267,8a59610ef415c6981a8a9d7125e3907a5de7586b40bb02c461d1fa481282c795
6699,7769,,7502,267,16.04210326504958,18e878e1d14e0ca3ff4c747cc3732f19516ca8ea573ed523c0d528865b2331e1,-19,cost-positive,-160,0.020809698773899044,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task209,209,6680,7609,,6895,714,16.06291296382348,8e0693495c92bc40c7a4f87b75577694e75a283e6bbda170f02291c5d7475c6e
20139,32011,,31272,739,14.626165127286631,c2129e85f2bb891b200421f885133416bd455b2857b7f3810bac8d675e860d56,7018,cost-positive,-73,0.0022830703125560348,4,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip"", ""nctuan-neurogolf2026-nct/submission.zip"", ""romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/romantamrazov-neurogolf-submission-lb-7296-01/submission.zip""]",task233,233,27157,31938,,31199,739,14.628448197599187,a1cf04a7af64891c846f0a76f14278cba69c0e60f8933c93677e62f6e6b13999
3604,2084,,2050,34,17.357955597126743,a695b2481d6664c45e950ba07ba13c5fca443bc45e88c38a91c67ed92dc26fd8,-29,cost-positive,-1,0.00047996161228525125,1,"[""nctuan-neurogolf2026-nct/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/nctuan-neurogolf2026-nct/submission.zip""]",task205,205,3575,2083,,2050,33,17.35843555873903,6af84f8737b969ba3b7dfe5a36486e6830f7d647a648145fcc29dc4ce50e5173
3775,900,,0,900,18.197605236675688,264f6d16a7028d7a07c0ed29e2018e0786f390f4d6cb69c04aeede59566aed4a,23,cost-neutral,0,0.0,2,"[""jackgong-7347-93-best-public-score/submission.zip"", ""jackgong-7347-93-open-onnx-artifact/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-best-public-score/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels-2026-07-15-late/jackgong-7347-93-open-onnx-artifact/submission.zip""]",task230,230,3798,900,,0,900,18.197605236675688,1444325f9990947c4e2b6bd66f2ce611d8efc4be97b595c4bf2ad63e9e166ad0
